ZTFID,n_raw,n_clean,n_removed,ref_band,t_peak_mjd,win_lo,win_hi,n_g,n_r,corroborated,verdict,reason
ZTF19adcfsad,65,20,45.0,r,58857.96,58846.6,58914.4,7.0,13.0,True,ok,good for colour
ZTF20aadzbcf,294,87,207.0,r,59002.01,58936.4,59077.9,42.0,45.0,True,ok,good for colour
ZTF20aaekkuv,56,13,43.0,r,58869.79,58855.4,58894.3,5.0,8.0,True,ok,good for colour
ZTF20aaelulu,1067,151,916.0,r,58866.35,58855.2,58915.4,71.0,80.0,True,ok,good for colour
ZTF20aaertpj,59,18,41.0,r,58872.86,58856.6,58898.5,8.0,10.0,True,ok,good for colour
ZTF20aaetirf,32,3,29.0,r,58859.22,58859.2,58891.1,0.0,3.0,True,insufficient,"ref r: 3 epochs, bracketed=False"
ZTF20aafmdzj,108,18,90.0,r,58871.07,58863.2,58905.1,7.0,11.0,True,ok,good for colour
ZTF20aagewqr,74,8,66.0,r,58875.12,58864.3,58881.3,1.0,7.0,True,ok_single,ok but one band sparse for colour
ZTF20aahbfmf,101,30,71.0,g,58893.91,58867.4,58939.9,12.0,18.0,True,ok,good for colour
ZTF20aaiahra,37,4,33.0,r,58875.81,58873.3,58900.3,0.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=True"
ZTF20aaiftgi,68,12,56.0,r,58886.69,58873.5,58912.4,6.0,6.0,True,ok,good for colour
ZTF20aaifybu,91,31,60.0,g,58883.27,58851.6,58925.5,16.0,15.0,True,ok,good for colour
ZTF20aaiqiti,360,132,228.0,r,58887.76,58873.3,58915.4,57.0,75.0,True,ok,good for colour
ZTF20aajcdad,138,47,91.0,r,58888.65,58875.5,58997.3,23.0,24.0,True,ok,good for colour
ZTF20aakodyh,35,13,22.0,r,58888.48,58875.5,58911.5,3.0,10.0,True,ok_single,ok but one band sparse for colour
ZTF20aalcyih,100,23,77.0,r,58898.38,58878.2,58915.1,8.0,15.0,True,ok,good for colour
ZTF20aalxlis,503,204,299.0,r,58897.5,58884.6,59051.2,98.0,106.0,True,ok,good for colour
ZTF20aamdyln,29,11,18.0,r,58900.74,58885.5,58965.3,3.0,8.0,True,ok_single,ok but one band sparse for colour
ZTF20aammtwx,110,25,85.0,r,58900.31,58890.2,58915.1,12.0,13.0,True,ok,good for colour
ZTF20aamqmhj,61,23,38.0,r,58902.65,58893.3,58915.4,6.0,17.0,True,ok,good for colour
ZTF20aanvmdt,47,6,41.0,r,58894.5,58894.5,59019.2,2.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=False"
ZTF20aaoflta,13,11,2.0,r,58897.22,58890.2,58915.1,5.0,6.0,True,ok,good for colour
ZTF20aapcbmc,39,9,30.0,r,58912.01,58898.5,58936.4,4.0,5.0,True,ok,good for colour
ZTF20aattyuz,111,47,64.0,g,58946.21,58936.5,58997.2,25.0,22.0,True,ok,good for colour
ZTF20aaurexl,104,45,59.0,r,58963.26,58953.5,59023.3,15.0,30.0,True,ok,good for colour
ZTF20aaurfnl,49,7,42.0,r,58964.64,58953.4,58967.4,2.0,5.0,True,ok_single,ok but one band sparse for colour
ZTF20aavcvrm,380,124,256.0,r,58969.38,58955.4,59023.3,42.0,82.0,True,ok,good for colour
ZTF20aavgcnu,111,7,104.0,r,58963.44,58956.3,58987.3,2.0,5.0,True,ok_single,ok but one band sparse for colour
ZTF20aavhyel,146,34,112.0,r,58973.69,58956.3,59045.2,14.0,20.0,True,ok,good for colour
ZTF20aavzffg,366,56,310.0,r,58976.33,58972.4,59051.2,27.0,29.0,True,ok,good for colour
ZTF20aaxvzja,64,21,43.0,r,58983.83,58970.4,59019.2,8.0,13.0,True,ok,good for colour
ZTF20aazkjfv,140,23,117.0,r,58996.53,58980.3,59043.2,9.0,14.0,True,ok,good for colour
ZTF20aazpyhy,397,120,277.0,r,59001.32,58984.4,59085.2,48.0,72.0,True,ok,good for colour
ZTF20abaszgh,73,25,48.0,r,58996.66,58991.2,59023.2,13.0,12.0,True,ok,good for colour
ZTF20abbpkng,94,31,63.0,r,59006.45,58994.3,59023.3,15.0,16.0,True,ok,good for colour
ZTF20abbplei,579,189,390.0,r,59004.71,58994.3,59128.1,99.0,90.0,True,ok,good for colour
ZTF20abcjdwu,310,66,244.0,r,59392.12,59379.3,59451.2,26.0,40.0,True,ok,good for colour
